city,state,population,latitude,longitude,toy store (20),child toy store (20),toy store (20-w/ coords radius),"children’s clothing store (20-w/ coords, radius)","children’s clothing store (20-w/ coords, rankby)"
benicia,CA,26742,38.0494444,-122.1575,,,X,X,X
alabaster,AL,26738,33.2441667,-86.8163889,,,X,X,X
merrimack,NH,26726,42.865,-71.4938889,,,X,X,X
maryville,TN,26719,35.7563889,-83.9705556,,,X,X,X
glen cove,NY,26717,40.8622222,-73.6341667,,,X,X,X
rahway,NJ,26713,40.6080556,-74.2780556,,,X,X,X
salisbury,NC,26693,35.6708333,-80.4744444,,,X,X,X
saugus,MA,26668,42.4647222,-71.0105556,,,X,X,X
san carlos,CA,26630,37.5072222,-122.2594444,,,X,X,X
kankakee,IL,26623,41.12,-87.8611111,,,X,X,X
winona,MN,26618,44.05,-91.6391667,,,X,X,X
tucker,GA,26597,33.8544444,-84.2172222,,,X,X,X
cloverleaf,TX,26557,29.7780556,-95.1716667,,,X,X,X
plum,PA,26550,40.5002778,-79.7497222,,,X,X,X
emporia,KS,26545,38.4038889,-96.1813889,,,X,X,X
plainfield,IL,26488,41.6269444,-88.2038889,,,X,X,X
tualatin,OR,26476,45.3841667,-122.7627778,,,X,X,X
farmers branch,TX,26468,32.9263889,-96.8958333,,,X,X,X
melrose,MA,26466,42.4583333,-71.0666667,,,X,X,X
jeffersontown,KY,26464,38.1941667,-85.5644444,,,X,X,X
wellesley,MA,26446,42.2963889,-71.2930556,,,X,X,X
shirley,NY,26431,40.8013889,-72.8680556,,,X,X,X
sandusky,OH,26428,41.4488889,-82.7080556,,,X,X,X
garden city,KS,26425,37.9716667,-100.8722222,,,X,X,X
la vergne,TN,26412,36.0155556,-86.5819444,,,X,X,X
north creek,WA,26410,47.8197222,-122.175,,,X,X,X
lehi,UT,26401,40.3916667,-111.85,,,X,X,X
scituate,MA,26400,42.1958333,-70.7263889,,,X,X,X
salisbury,MD,26352,38.3605556,-75.5997222,,,X,X,X
new london,CT,26294,41.3555556,-72.1,,,X,X,X
gallatin,TN,26200,36.3883333,-86.4466667,,,X,X,X
easton,PA,26192,40.6883333,-75.2211111,,,X,X,X
spring valley,CA,26180,32.7447222,-116.9980556,,,X,X,X
bergenfield,NJ,26120,40.9275,-73.9977778,,,X,X,X
ridgecrest,CA,26110,35.6225,-117.67,,,X,X,X
middletown,NY,26096,41.4458333,-74.4233333,,,X,X,X
eagle pass,TX,26090,28.7088889,-100.4991667,,,X,X,X
west linn,OR,26067,45.3658333,-122.6111111,,,X,X,X
westerly,RI,26048,41.3775,-71.8277778,,,X,X,X
the crossings,FL,26047,25.6702778,-80.4013889,,,X,X,X
corsicana,TX,26037,32.0952778,-96.4686111,,,X,X,X
west chicago,IL,26014,41.8847222,-88.2038889,,,X,X,X
englewood,NJ,26012,40.8927778,-73.9730556,,,X,X,X
odenton,MD,26005,39.0838889,-76.7005556,,,X,X,X
north potomac,MD,25972,39.0827778,-77.2652778,,,X,X,X
dodge city,KS,25932,37.7527778,-100.0166667,,,X,X,X
dix hills,NY,25902,40.8047222,-73.3366667,,,X,X,X
opportunity,WA,25877,47.6575,-117.2388889,,,X,X,X
maywood,IL,25872,41.8791667,-87.8430556,,,X,X,X
terrytown,LA,25858,29.91,-90.0325,,,X,X,X
north ridgeville,OH,25851,41.3894444,-82.0191667,,,X,X,X
danvers,MA,25829,42.575,-70.9305556,,,X,X,X
newport,RI,25818,41.49,-71.3133333,,,X,X,X
southlake,TX,25755,32.9411111,-97.1338889,,,X,X,X
pike creek,DE,25752,39.7308333,-75.7044444,,,X,X,X
wooster,OH,25725,40.805,-81.9352778,,,X,X,X
vicksburg,MS,25701,32.3525,-90.8777778,,,X,X,X
lochearn,MD,25672,39.3405556,-76.7225,,,X,X,X
hazelwood,MO,25661,38.7713889,-90.3708333,,,X,X,X
harrison,NY,25643,40.9688889,-73.7130556,,,X,X,X
pullman,WA,25636,46.7313889,-117.1786111,,,X,X,X
eureka,CA,25626,40.8022222,-124.1625,,,X,X,X
pascagoula,MS,25621,30.3655556,-88.5561111,,,X,X,X
freeport,IL,25619,42.2966667,-89.6211111,,,X,X,X
waxahachie,TX,25612,32.3863889,-96.8480556,,,X,X,X
burlington,IA,25608,40.8075,-91.1127778,,,X,X,X
cudahy,CA,25606,33.9605556,-118.1844444,,,X,X,X
cave spring,VA,25602,37.2275,-80.0130556,,,X,X,X
milton,MA,25586,42.2494444,-71.0666667,,,X,X,X
sun prairie,WI,25561,43.1836111,-89.2136111,,,X,X,X
marshalltown,IA,25554,42.0494444,-92.9077778,,,X,X,X
marana,AZ,25553,32.4366667,-111.2247222,,,X,X,X
college park,MD,25539,38.9805556,-76.9372222,,,X,X,X
east cleveland,OH,25513,41.5330556,-81.5791667,,,X,X,X
collinsville,IL,25491,38.6702778,-89.9844444,,,X,X,X
florence,KY,25487,38.9988889,-84.6266667,,,X,X,X
spring valley,NY,25469,41.1130556,-74.0441667,,,X,X,X
arnold,MD,25460,39.0319444,-76.5030556,,,X,X,X
anderson,SC,25393,34.5033333,-82.6502778,,,X,X,X
golden gate,FL,25388,26.1875,-81.6952778,,,X,X,X
greenville,TX,25382,33.1383333,-96.1105556,,,X,X,X
maryland heights,MO,25311,38.7130556,-90.4297222,,,X,X,X
myrtle beach,SC,25310,33.6888889,-78.8869444,,,X,X,X
paducah,KY,25306,37.0833333,-88.6,,,X,X,X
carlsbad,NM,25302,32.4205556,-104.2283333,,,X,X,X
mount pleasant,MI,25281,43.5977778,-84.7675,,,X,X,X
ponca city,OK,25273,36.7069444,-97.0852778,,,X,X,X
castlewood,CO,25271,39.5847222,-104.9005556,,,X,X,X
kingsville,TX,25264,27.5155556,-97.8558333,,,X,X,X
windsor,CA,25262,38.5472222,-122.8152778,,,X,X,X
yarmouth,MA,25243,41.7055556,-70.2291667,,,X,X,X
crofton,MD,25233,39.0016667,-76.6877778,,,X,X,X
duluth,GA,25213,34.0027778,-84.1447222,,,X,X,X
morristown,TN,25204,36.2138889,-83.295,,,X,X,X
fremont,NE,25197,41.4333333,-96.4977778,,,X,X,X
plainview,NY,25174,40.7763889,-73.4677778,,,X,X,X
parkland,WA,25133,47.1555556,-122.4327778,,,X,X,X
coral terrace,FL,25120,25.7455556,-80.3047222,,,X,X,X
bristol,TN,25110,36.595,-82.1888889,,,X,X,X
